route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
3944.5,1.79,3.676,6.329,0.3595,175628.64,4.529,air,premium,Europe,MENA,high,1
1319.7,2.19,5.39,2.628,0.718,25296.74,5.945,sea,premium,Africa,MENA,normal,1
417.9,1.0,6.322,6.031,0.7664,402.42,8.508,air,standard,Asia,Asia,low,0
4290.1,2.03,0.671,2.389,0.4888,6056.96,8.465,air,low_cost,Europe,Europe,low,1
2141.2,1.59,2.32,3.729,0.1456,10622.7,3.61,road,low_cost,Asia,MENA,normal,1
1909.3,3.01,2.136,3.338,0.2065,30656.35,5.085,air,standard,Europe,MENA,normal,1
2370.1,4.37,6.159,1.939,0.4211,11538.46,3.603,sea,standard,Asia,MENA,normal,1
2727.6,4.91,0.945,7.39,0.0569,2478.14,6.234,road,standard,MENA,Africa,low,1
2783.1,2.57,3.985,3.182,0.3667,485.83,3.691,sea,premium,Europe,Asia,low,1
1240.6,2.97,1.813,5.164,0.2719,1342.89,5.222,road,standard,Africa,Europe,normal,1
707.6,1.0,0.11,3.966,0.608,2325.06,5.961,air,premium,Africa,Asia,high,1
769.0,1.0,0.537,2.499,0.5084,43456.79,5.106,air,premium,Europe,MENA,normal,1
2841.5,1.77,2.968,4.298,0.2685,2718.9,4.418,road,standard,MENA,MENA,low,0
4352.5,2.5,1.881,3.373,0.3729,3971.52,5.765,sea,premium,Africa,Africa,normal,1
2894.2,3.91,0.431,4.673,0.2557,9996.02,4.791,air,standard,MENA,Asia,normal,1
4123.6,2.17,2.22,2.251,0.218,16868.86,7.951,road,standard,Europe,Europe,normal,1
1251.2,1.0,1.348,2.962,0.2593,24656.42,3.129,air,standard,Africa,Africa,high,0
3026.1,1.21,3.753,3.868,0.3109,19541.63,5.255,road,low_cost,Africa,Europe,low,1
3455.7,2.78,1.352,1.594,0.2791,4265.23,3.523,sea,standard,Asia,Europe,normal,1
1200.3,2.55,2.539,2.473,0.4035,1863.75,4.304,road,low_cost,Africa,Africa,critical,1
5403.6,3.73,2.008,2.537,0.1283,2879.45,5.955,rail,premium,MENA,Africa,critical,0
2767.0,2.16,6.34,3.152,0.3786,2153.53,4.222,air,standard,Africa,Africa,critical,1
2147.3,1.0,5.37,1.4,0.2356,629.58,4.321,sea,low_cost,Europe,Europe,high,1
3898.3,3.44,0.859,4.197,0.0941,1133.37,3.584,road,standard,MENA,Africa,low,0
1239.8,1.2,3.765,4.746,0.177,814.58,4.249,air,standard,MENA,MENA,normal,1
2052.0,1.94,0.993,4.81,0.1408,5732.76,4.815,road,standard,Europe,Africa,normal,1
849.0,1.0,2.057,3.732,0.3741,54026.6,6.473,road,premium,Africa,Africa,normal,1
2137.1,1.43,4.422,6.188,0.1357,1706.9,5.382,road,low_cost,Africa,Europe,normal,1
1343.0,2.4,1.393,5.977,0.2466,6481.13,6.803,air,standard,MENA,Africa,critical,1
1987.8,1.0,5.128,0.911,0.1287,19471.88,4.68,sea,standard,Asia,Asia,normal,1
5485.4,6.26,0.628,1.92,0.2783,12604.5,6.886,sea,low_cost,MENA,Europe,normal,1
951.6,1.26,2.773,3.362,0.2605,65510.42,6.896,sea,premium,Africa,MENA,normal,1
1279.6,2.57,5.368,6.824,0.1585,1589.64,5.619,air,low_cost,MENA,Asia,normal,1
1618.5,2.62,5.68,6.219,0.4247,6952.65,7.451,air,low_cost,Asia,Europe,normal,1
327.6,1.0,1.485,0.674,0.1754,2947.38,9.837,sea,premium,Africa,MENA,high,1
5652.3,6.87,7.039,5.467,0.2198,364.39,3.819,sea,premium,Asia,MENA,normal,1
1539.6,2.16,6.687,4.619,0.0306,2778.15,4.77,air,low_cost,Asia,Europe,normal,1
947.2,1.35,5.321,4.952,0.0549,32253.95,6.655,sea,low_cost,Africa,Europe,high,1
336.5,3.11,1.176,1.768,0.1776,30484.66,3.728,sea,low_cost,Europe,MENA,low,1
11862.7,9.28,2.247,2.986,0.4026,161546.51,6.636,rail,standard,Africa,Africa,critical,0
2098.6,1.42,4.908,0.677,0.0801,2912.19,6.023,air,standard,Europe,Europe,high,0
738.8,3.54,1.304,3.53,0.094,17071.17,7.782,sea,standard,Asia,MENA,normal,1
984.0,1.65,0.245,3.768,0.2531,52505.03,7.871,air,premium,Asia,Asia,high,1
3771.1,3.56,3.725,6.089,0.1775,32978.22,5.236,air,standard,Asia,Europe,normal,1
3999.3,1.29,3.434,3.594,0.2752,61999.9,8.542,road,low_cost,Africa,Africa,low,1
2293.3,1.0,2.052,1.162,0.4365,6203.71,5.906,sea,low_cost,Africa,Asia,normal,1
3678.5,5.09,4.387,3.227,0.2523,638.1,6.601,road,standard,MENA,MENA,normal,1
1475.9,1.01,3.35,2.35,0.2064,20447.77,4.112,sea,premium,MENA,MENA,low,1
4507.9,3.07,0.754,2.286,0.2556,6857.98,7.944,sea,standard,Africa,Africa,normal,1
1827.3,1.39,3.033,1.456,0.4391,2053.42,4.985,road,standard,MENA,Europe,normal,1
1398.4,2.99,1.839,1.338,0.2501,805.99,8.566,air,standard,Asia,MENA,high,1
2937.3,1.37,3.505,6.29,0.0876,5867.41,4.199,air,standard,MENA,MENA,normal,1
1357.2,2.03,1.212,4.168,0.3886,39551.15,5.073,rail,premium,Asia,Europe,normal,1
2459.9,3.26,3.163,1.032,0.4167,5700.77,6.095,sea,standard,Asia,MENA,normal,1
2248.4,1.0,1.527,2.601,0.2652,1299.03,5.851,road,premium,MENA,Europe,high,1
682.9,1.22,2.321,4.298,0.2035,3715.07,4.255,air,premium,Africa,Europe,normal,1
2356.0,1.0,2.983,3.972,0.089,4690.98,3.755,air,standard,MENA,MENA,normal,0
5839.3,3.69,4.664,1.64,0.1865,4881.36,5.537,road,standard,Asia,Africa,normal,1
1330.8,1.0,1.342,4.335,0.0768,3169.92,5.277,air,standard,Africa,MENA,normal,0
6450.3,6.04,2.962,4.128,0.0408,43368.78,4.411,road,standard,Africa,Asia,normal,1
653.6,1.56,4.357,3.59,0.1633,7925.95,6.716,sea,standard,MENA,MENA,critical,1
4111.5,2.91,5.342,0.124,0.3948,3960.67,3.325,sea,low_cost,Africa,Europe,low,1
2568.2,1.0,3.082,3.744,0.0794,6586.04,7.615,rail,premium,MENA,Asia,critical,1
10234.0,8.35,1.262,6.688,0.0238,374.21,5.706,sea,standard,Europe,Asia,normal,1
1780.4,3.68,3.083,1.883,0.04,1758.72,3.974,air,premium,MENA,MENA,normal,0
3693.0,1.0,0.478,3.105,0.408,3556.23,3.511,sea,low_cost,Asia,MENA,low,1
1828.7,3.55,1.894,4.916,0.1592,29262.85,3.794,air,standard,Europe,MENA,critical,1
1191.9,1.8,4.835,3.931,0.1331,5956.18,5.069,sea,standard,Africa,Africa,low,1
2439.0,1.44,0.432,3.225,0.3381,2482.69,5.266,air,low_cost,Asia,Asia,low,1
1042.5,1.57,3.275,0.671,0.2579,666.39,6.078,sea,low_cost,Africa,Europe,normal,1
5475.9,3.86,1.149,4.712,0.4009,5891.51,3.102,road,standard,MENA,Asia,normal,1
4137.1,2.36,5.647,0.329,0.4545,94589.07,5.272,rail,low_cost,Europe,Africa,high,1
4873.1,1.0,2.086,4.067,0.1488,124.1,4.566,sea,standard,Europe,Europe,normal,1
1113.8,1.0,3.613,2.705,0.3429,13147.3,5.447,sea,premium,MENA,Africa,low,1
6233.2,4.47,0.66,4.054,0.1892,6793.79,4.13,sea,standard,Asia,Asia,high,1
3080.9,3.3,1.571,6.241,0.5344,854.34,5.235,road,premium,Asia,Europe,normal,1
1982.1,1.85,6.19,1.655,0.4038,8317.58,4.254,air,standard,Europe,Africa,low,1
437.6,1.0,1.49,1.802,0.3638,10571.27,4.274,air,standard,MENA,Africa,low,1
1810.0,2.52,4.487,1.987,0.3808,2048.48,4.697,road,standard,Africa,Africa,normal,1
4060.0,2.7,2.017,4.424,0.1799,4421.55,4.199,road,premium,Africa,Europe,high,1
1094.6,2.56,5.065,3.151,0.106,9618.1,9.735,air,low_cost,Europe,Europe,low,1
691.1,1.08,0.714,1.096,0.2832,1643.32,8.4,sea,standard,Europe,Asia,normal,1
1874.8,1.24,2.222,1.611,0.1706,986.46,4.92,air,low_cost,Asia,Africa,normal,1
5771.3,4.81,0.406,0.911,0.262,14416.88,9.609,air,premium,MENA,Europe,normal,1
968.0,1.13,5.168,3.201,0.1257,1161.98,5.179,rail,standard,Africa,Europe,normal,1
841.3,1.57,2.401,3.541,0.1953,132.53,6.759,sea,low_cost,Asia,Asia,high,1
4939.8,3.32,1.743,4.824,0.247,780.98,5.78,air,low_cost,Africa,Africa,normal,0
2859.4,4.63,3.265,2.063,0.1929,5818.2,6.506,sea,premium,Europe,Africa,normal,1
4924.8,6.11,1.383,4.818,0.151,9753.48,4.297,road,standard,Europe,Asia,low,1
2555.6,1.0,1.455,3.797,0.0869,5737.86,5.071,rail,standard,MENA,Africa,normal,1
7919.5,6.86,4.084,7.413,0.0745,4188.87,6.311,road,low_cost,Asia,Europe,normal,1
1686.6,1.86,2.613,2.018,0.1096,100626.99,4.345,sea,standard,Africa,Europe,normal,1
798.5,3.6,0.619,2.007,0.0994,65289.46,5.163,sea,standard,Asia,Europe,normal,0
4025.6,4.0,1.819,1.223,0.2811,2291.78,4.219,road,standard,Asia,Europe,normal,1
3116.3,1.89,3.712,1.745,0.2561,11682.7,6.005,road,standard,MENA,Africa,normal,1
8694.4,7.11,1.378,2.129,0.2437,4179.52,7.354,road,standard,Europe,Africa,normal,1
426.5,2.27,1.245,5.543,0.1461,5208.75,5.531,road,low_cost,Europe,Africa,normal,1
3156.8,3.44,1.941,3.518,0.1168,3699.15,5.018,sea,premium,MENA,Europe,normal,1
555.6,1.0,0.355,4.81,0.1904,15965.3,4.735,air,standard,Asia,Africa,normal,1
2945.3,2.26,1.991,4.919,0.4297,42311.97,6.67,road,standard,Europe,MENA,normal,1
1612.2,1.0,0.729,4.872,0.7352,3733.51,6.477,sea,standard,MENA,Asia,normal,1
5731.8,4.67,1.958,2.298,0.1256,135406.2,3.684,sea,standard,Africa,Africa,normal,1
532.9,2.18,2.12,2.488,0.2313,2100.47,3.726,air,premium,Asia,Africa,low,1
733.5,1.0,5.563,2.909,0.1467,7000.46,9.48,air,low_cost,MENA,Europe,normal,1
5992.7,4.06,0.919,1.851,0.0803,6277.46,3.885,sea,standard,MENA,Africa,high,0
3461.7,2.72,2.296,1.57,0.1742,53247.9,4.085,air,premium,Asia,MENA,normal,0
2670.1,1.0,4.087,6.606,0.0367,25207.46,3.76,sea,standard,MENA,Europe,normal,1
2337.7,1.7,3.119,2.396,0.3852,12197.15,5.211,road,premium,Europe,Asia,high,1
1575.1,1.5,1.033,1.796,0.4571,14336.79,4.28,sea,standard,Asia,Asia,critical,0
2862.4,2.25,4.966,2.377,0.2761,3923.55,4.258,sea,standard,MENA,Asia,low,1
1927.6,2.28,5.465,3.828,0.4412,1501.68,7.592,air,standard,Europe,Africa,normal,1
972.2,1.2,4.569,3.774,0.1829,5160.36,4.055,sea,premium,Africa,Europe,normal,1
6173.7,3.55,3.973,4.411,0.2738,3048.05,5.888,sea,standard,Asia,Asia,normal,1
2493.8,1.0,1.307,3.692,0.1362,531.07,5.018,sea,standard,Africa,MENA,normal,1
3113.1,3.57,2.113,6.197,0.4101,1228.54,4.017,sea,standard,Asia,Europe,normal,1
5769.3,4.06,2.424,5.091,0.207,1645.12,4.134,rail,standard,MENA,Europe,low,1
2175.6,1.0,4.621,3.255,0.3154,1530.92,3.901,road,standard,MENA,Europe,high,1
1952.7,2.38,3.88,3.825,0.1252,2813.36,8.472,rail,premium,Europe,MENA,normal,1
6639.0,5.33,3.104,5.58,0.0644,10237.28,6.286,air,low_cost,Africa,Asia,high,1
679.1,1.0,4.314,1.804,0.2415,52434.74,3.979,sea,low_cost,Asia,Asia,low,1
3718.8,3.08,3.343,2.57,0.0866,1146.85,3.575,sea,low_cost,Europe,MENA,normal,1
481.7,2.74,5.73,3.036,0.0328,4624.85,5.846,road,standard,Africa,Asia,low,1
9127.4,7.39,3.558,4.446,0.4371,1766.3,3.782,sea,premium,Europe,Europe,low,1
1518.1,2.35,3.212,1.947,0.1272,4016.34,4.367,road,standard,Europe,Asia,normal,1
2379.5,2.02,2.407,4.421,0.2483,6241.01,5.596,air,standard,MENA,Europe,critical,1
5403.6,3.01,2.455,3.94,0.4211,4070.47,6.705,sea,standard,MENA,MENA,normal,1
1826.1,1.0,2.902,0.465,0.4211,1653.57,5.095,road,standard,MENA,Asia,critical,1
2356.2,1.0,3.145,3.763,0.2199,1586.6,5.055,sea,premium,MENA,Africa,high,1
7092.0,6.5,1.146,7.127,0.0755,4492.18,4.426,road,premium,MENA,Europe,normal,1
1300.6,3.8,4.173,2.896,0.1608,44312.18,6.506,road,standard,MENA,Asia,high,1
2091.4,1.21,6.298,2.828,0.0915,40669.99,4.988,road,standard,Asia,Europe,high,1
1819.9,1.52,3.402,4.796,0.1478,1145.4,6.185,sea,standard,Africa,Europe,low,1
5812.6,1.9,6.273,4.597,0.3421,3806.95,6.074,air,standard,MENA,Africa,low,1
1800.8,1.79,3.524,5.564,0.2312,7145.77,4.31,road,low_cost,Europe,MENA,normal,1
2636.4,2.2,1.76,2.07,0.1012,19411.38,7.791,sea,premium,Asia,MENA,normal,1
3102.0,1.0,0.498,1.408,0.1982,1037.82,6.558,sea,premium,Africa,Europe,low,0
2113.5,1.6,2.992,0.903,0.5574,1600.73,7.693,air,premium,MENA,Africa,normal,0
3172.6,1.0,1.848,3.064,0.3756,711.5,5.245,road,premium,Europe,Asia,low,1
1479.5,1.33,3.797,1.541,0.0935,1073.71,7.404,road,premium,Europe,Asia,high,1
485.6,1.0,3.317,1.945,0.3091,1440.4,4.672,air,standard,Africa,Africa,low,1
2680.1,1.0,1.403,6.882,0.6113,8579.98,5.165,air,premium,Asia,Europe,normal,1
1076.6,1.59,1.77,5.202,0.3,12277.65,4.933,sea,standard,Europe,Europe,low,1
1367.9,1.0,1.74,0.74,0.2222,1574.93,4.849,sea,premium,MENA,MENA,normal,0
822.1,2.48,3.458,5.16,0.2468,1129.14,7.823,sea,standard,Asia,Europe,normal,1
2084.4,1.48,2.219,6.773,0.2358,1767.2,5.158,rail,standard,Africa,Europe,high,1
1628.0,1.39,1.796,3.362,0.2541,13618.56,6.481,road,premium,Europe,Africa,normal,1
1223.5,1.0,5.487,4.615,0.0909,2974.87,3.661,air,low_cost,Europe,Asia,high,1
1784.8,1.0,6.589,5.238,0.203,2811.88,5.769,sea,low_cost,MENA,Asia,normal,1
2792.1,1.0,0.838,0.773,0.2904,5151.09,7.794,sea,standard,Asia,Asia,normal,1
4868.9,1.82,6.754,3.25,0.2343,9185.81,6.205,sea,low_cost,Asia,Asia,normal,1
3609.8,2.81,4.542,2.139,0.2663,5052.23,6.522,sea,premium,Asia,MENA,normal,1
4392.4,2.66,2.609,2.158,0.1284,4478.47,5.933,road,standard,Africa,Europe,normal,1
2266.4,2.68,1.592,4.811,0.1474,402.09,3.437,air,premium,Europe,Africa,high,0
4011.8,3.34,3.061,1.854,0.2075,11913.03,8.38,sea,standard,MENA,Europe,critical,1
6293.5,4.98,2.839,5.633,0.1675,7417.59,4.236,air,premium,Africa,Africa,high,1
1698.9,1.61,0.612,2.169,0.3328,814.15,5.085,rail,standard,Africa,MENA,high,1
1523.3,1.0,1.689,6.842,0.3172,1633.04,7.612,air,low_cost,Africa,Africa,high,1
1922.6,1.74,1.82,3.594,0.0656,2865.56,4.127,road,standard,Europe,MENA,low,0
1295.4,1.0,1.141,4.286,0.087,53111.61,3.63,air,premium,Europe,Africa,normal,0
4888.9,3.07,2.118,6.097,0.4431,25634.76,8.168,sea,low_cost,Asia,MENA,critical,1
2924.3,1.6,1.684,3.73,0.2513,870.96,7.114,road,premium,MENA,Africa,normal,1
942.8,2.28,0.191,3.079,0.4255,6177.22,10.0,sea,premium,MENA,Africa,high,1
3873.5,4.85,1.631,2.858,0.2116,4044.95,7.006,air,standard,Africa,Africa,high,1
2620.9,2.65,2.218,5.834,0.4697,534.97,7.498,air,standard,Europe,Africa,normal,1
3073.0,2.66,4.499,4.878,0.4428,613.58,6.889,sea,standard,Africa,Europe,low,1
4529.2,2.42,3.222,2.626,0.282,33168.2,6.885,road,premium,Africa,Africa,normal,1
2422.9,2.03,4.357,4.352,0.0796,980.0,7.304,road,standard,MENA,Asia,low,1
1714.3,1.43,3.414,3.185,0.2888,12772.28,8.567,road,low_cost,Europe,MENA,normal,1
2367.8,1.85,1.707,1.97,0.0581,1677.26,3.894,air,premium,Asia,Asia,normal,1
2885.0,3.04,1.379,1.742,0.0963,60854.82,8.766,sea,standard,Asia,Asia,normal,1
5133.0,3.5,1.664,3.249,0.3077,489.93,6.098,road,standard,Africa,Europe,normal,1
732.4,1.0,3.026,1.789,0.2801,1081.76,5.094,road,standard,MENA,MENA,normal,1
1183.8,1.0,4.764,1.919,0.2038,2453.7,5.844,road,standard,MENA,Asia,low,1
2289.8,1.0,2.177,3.023,0.0688,27742.39,9.804,sea,premium,Asia,Africa,normal,1
3622.4,2.33,1.259,4.139,0.2031,26389.78,6.141,air,premium,Asia,MENA,normal,0
1824.8,2.33,5.264,7.857,0.1315,13035.93,4.456,sea,low_cost,MENA,Europe,low,1
2489.1,1.97,3.555,0.999,0.1655,531.03,4.769,air,standard,MENA,MENA,low,0
1376.4,3.54,1.48,4.95,0.3606,496.99,4.778,sea,standard,Africa,MENA,low,1
3184.1,3.68,1.327,3.752,0.2928,8871.68,4.472,road,standard,MENA,Africa,high,1
2350.7,1.0,2.848,5.383,0.588,10293.52,8.115,sea,standard,MENA,Asia,normal,1
404.8,1.0,3.482,2.332,0.3705,7164.03,3.906,sea,low_cost,Africa,Africa,normal,1
6385.8,2.95,3.672,3.243,0.5711,71625.44,4.949,sea,standard,Europe,Asia,high,1
2240.9,1.0,1.762,3.476,0.1012,5487.72,5.203,road,standard,Europe,MENA,normal,1
1505.2,1.04,2.574,5.672,0.2091,2602.08,4.664,sea,premium,MENA,Africa,normal,1
1019.8,3.37,4.078,3.821,0.1788,2410.65,4.581,sea,low_cost,MENA,MENA,high,1
2384.2,1.0,4.86,3.416,0.3866,10895.76,3.566,sea,standard,Africa,Asia,high,1
3415.4,2.05,0.68,3.524,0.1295,4279.81,5.193,road,premium,Asia,Africa,high,0
2230.3,1.1,5.714,2.044,0.1695,6408.23,4.281,sea,low_cost,Asia,MENA,low,0
1396.3,1.0,6.511,2.722,0.3074,6484.89,3.69,road,standard,Africa,Europe,normal,1
2864.0,1.39,1.518,6.584,0.1542,1256.82,4.542,air,premium,Africa,MENA,high,1
7793.1,5.72,3.047,4.426,0.1257,660.92,6.619,sea,low_cost,Europe,Asia,high,1
4191.9,2.7,3.761,6.065,0.3187,171264.85,3.287,air,standard,Asia,Africa,normal,1
1653.3,4.39,1.425,3.533,0.2373,18972.26,3.656,sea,standard,MENA,Asia,high,1
810.0,2.32,3.283,4.034,0.4473,2975.95,3.641,air,low_cost,Africa,MENA,normal,1
5896.1,4.19,5.089,6.906,0.1001,1079.77,6.836,sea,premium,Asia,Africa,low,1
183.7,1.0,4.716,1.551,0.2995,26416.68,3.313,air,standard,Asia,Asia,normal,1
6416.6,5.07,4.868,3.722,0.383,105.1,6.381,sea,standard,Asia,MENA,normal,1
533.8,1.04,4.28,0.521,0.0963,24065.44,6.478,road,premium,Asia,MENA,normal,1
5430.0,4.39,0.415,4.462,0.3905,7221.13,3.273,sea,low_cost,Asia,Europe,low,1
1107.3,3.05,1.728,1.584,0.1452,33332.03,3.459,sea,premium,Europe,MENA,high,0
2647.2,2.51,6.733,1.7,0.3059,25672.94,4.985,air,standard,Africa,Africa,normal,1
6388.3,6.46,3.38,2.807,0.5353,28518.71,9.326,air,standard,Asia,Europe,normal,1
2733.4,2.23,3.799,2.786,0.263,11988.29,7.352,air,premium,Africa,Europe,normal,1
1341.8,1.0,5.695,4.567,0.1482,3938.21,3.661,sea,standard,MENA,Europe,high,1
3064.6,3.21,4.049,0.792,0.0324,2703.55,5.553,sea,premium,Asia,Asia,high,0
2880.3,4.32,1.266,2.188,0.243,343.81,5.874,air,premium,Africa,Asia,high,0
625.6,2.12,0.852,1.828,0.1792,4271.22,4.431,sea,standard,Europe,Africa,high,0
1084.7,1.87,0.759,0.902,0.2282,1270.16,6.049,air,standard,Europe,Asia,normal,0
3057.4,2.82,4.509,1.654,0.372,13282.57,4.307,sea,standard,Europe,Asia,high,1
4651.2,3.48,0.541,6.362,0.4247,18930.72,4.522,sea,premium,MENA,Europe,normal,1
3223.6,1.98,4.341,1.873,0.3142,1826.63,4.713,air,standard,Europe,Europe,normal,0
2257.8,2.86,4.039,1.79,0.2061,920.04,6.68,air,standard,MENA,Africa,low,1
2270.3,1.0,2.323,2.147,0.5086,8302.25,4.51,air,premium,Europe,Europe,high,1
796.0,1.0,3.671,3.087,0.1157,17334.76,6.883,sea,premium,MENA,MENA,low,1
2135.0,1.0,1.159,3.785,0.3399,88865.95,6.916,rail,standard,MENA,MENA,high,1
1071.1,1.0,2.613,4.732,0.1766,3449.96,4.531,air,low_cost,MENA,Asia,normal,1
5643.3,3.54,3.594,1.805,0.5344,4731.83,4.154,air,low_cost,Asia,Africa,high,1
583.3,1.0,2.824,7.963,0.1894,1030.52,6.684,road,low_cost,Asia,Europe,low,1
665.6,1.48,3.004,2.203,0.4705,14596.74,5.93,air,standard,Africa,MENA,low,1
3372.0,1.0,3.136,6.305,0.1412,481.86,7.52,air,standard,Asia,Europe,normal,1
2386.6,2.82,2.603,1.719,0.1481,29016.38,5.47,sea,standard,Asia,Asia,normal,1
1828.6,1.25,2.65,2.38,0.2905,10097.96,6.57,sea,premium,MENA,Africa,normal,1
5716.3,3.18,3.628,1.237,0.1344,21238.79,10.0,sea,standard,Europe,MENA,low,1
2388.8,3.0,0.501,4.499,0.1599,37729.66,7.098,road,low_cost,Europe,MENA,high,1
1134.5,1.0,3.273,3.28,0.0751,2633.9,7.051,road,standard,Asia,Europe,normal,1
1525.7,1.28,1.019,1.41,0.3533,3181.47,7.731,sea,standard,Europe,Europe,low,1
2234.4,2.46,2.643,2.42,0.3837,3528.48,8.448,rail,low_cost,MENA,Asia,normal,1
932.1,1.0,3.339,3.59,0.3053,6626.05,5.842,air,premium,MENA,Europe,low,1
8292.3,4.68,3.411,1.571,0.2788,1052.6,5.328,road,premium,Africa,Africa,low,1
3365.8,1.05,1.018,5.647,0.0861,5538.31,5.884,sea,low_cost,Africa,MENA,normal,1
1488.5,1.97,2.54,7.226,0.4542,5152.57,3.868,road,low_cost,Asia,Europe,low,1
8121.0,6.72,3.217,0.538,0.0947,4366.79,3.504,sea,standard,Europe,Europe,normal,0
5540.1,3.07,3.102,5.687,0.2949,2624.85,4.218,air,standard,MENA,MENA,low,1
4876.7,2.27,1.595,1.889,0.38,32355.09,8.815,air,standard,MENA,Africa,normal,1
1207.6,1.0,0.699,2.253,0.2881,5208.29,5.043,sea,premium,MENA,MENA,normal,0
2117.2,3.48,2.512,6.174,0.1937,6662.28,5.614,sea,premium,Europe,Africa,normal,1
2060.6,1.0,2.262,5.52,0.4065,1185.96,6.769,sea,premium,Asia,Europe,low,1
3169.2,2.58,2.107,4.271,0.3515,596.69,4.013,air,premium,Africa,Africa,normal,1
2641.5,2.1,3.473,2.035,0.0398,2996.55,6.734,road,low_cost,MENA,Europe,normal,1
169.0,1.1,2.295,4.032,0.108,3186.36,3.833,air,premium,Asia,MENA,normal,0
2640.3,3.53,0.535,1.783,0.2329,24990.12,5.657,sea,standard,Africa,Asia,low,1
3532.1,3.76,2.597,1.885,0.3242,1659.5,8.065,air,low_cost,Asia,Asia,normal,1
2194.1,1.0,4.638,3.398,0.2498,4966.08,7.235,sea,standard,Europe,Asia,normal,1
5429.9,3.38,2.879,2.239,0.0912,1194.95,5.632,sea,premium,Africa,Europe,normal,1
2578.5,2.47,1.256,1.378,0.2432,22806.62,7.106,air,premium,MENA,Europe,low,1
3279.1,2.12,1.241,4.728,0.1971,5348.35,7.829,sea,standard,Europe,Asia,normal,1
2541.2,2.6,6.81,8.504,0.419,4583.51,5.036,road,standard,MENA,MENA,normal,1
2909.7,4.31,1.832,6.744,0.1471,1347.13,6.026,air,standard,MENA,Europe,normal,1
1816.1,2.65,1.795,4.526,0.2567,36716.67,6.815,road,low_cost,Asia,Europe,high,1
4503.0,3.13,2.325,2.565,0.1474,8110.5,8.452,road,premium,Africa,Europe,high,1
881.8,1.0,2.484,6.944,0.056,4135.29,6.35,air,standard,Asia,Europe,normal,1
7240.3,5.74,3.82,1.419,0.1424,2638.35,5.276,air,standard,Africa,Europe,critical,1
4145.9,4.52,3.045,2.667,0.4953,20164.57,8.918,sea,premium,Europe,Asia,high,1
